row_index	gene
270	MUL1
271	CDA
272	PINK1
273	PINK1-AS
274	DDOST
275	KIF17
276	HP1BP3
277	EIF4G3
278	ECE1
279	AL031728.1
280	NBPF3
281	ALPL
282	RAP1GAP
283	USP48
284	LDLRAD2
285	HSPG2
286	CELA3B
287	CELA3A
288	LINC01635
289	CDC42
290	WNT4
291	ZBTB40
292	C1QA
293	C1QC
294	C1QB
295	EPHB2
296	KDM1A
297	LUZP1
298	LINC01355
299	HNRNPR
300	ZNF436
301	ZNF436-AS1
302	AL109936.2
303	TCEA3
304	ASAP3
305	E2F2
306	AL021154.1
307	ID3
308	MDS2
309	RPL11
310	ELOA
311	ELOA-AS1
312	PITHD1
313	LYPLA2
314	GALE
315	HMGCL
316	FUCA1
317	PNRC2
318	SRSF10
319	IL22RA1
320	IFNLR1
321	GRHL3
322	STPG1
323	NIPAL3
324	RCAN3
325	AL445686.2
326	NCMAP
327	SRRM1
328	CLIC4
329	RUNX3
330	AL445471.1
331	AL050344.1
332	AL031432.1
333	SYF2
334	AL031432.5
335	RSRP1
336	TMEM50A
337	RHCE
338	MACO1
339	LDLRAP1
340	MAN1C1
341	AL031280.1
342	SELENON
343	AL020996.1
344	MTFR1L
345	AUNIP
346	AL033528.2
347	PAQR7
348	STMN1
349	PAFAH2
350	EXTL1
351	SLC30A2
352	TRIM63
353	PDIK1L
354	FAM110D
355	AL391650.1
356	ZNF593
357	CNKSR1
358	CEP85
359	SH3BGRL3
360	UBXN11
361	CD52
362	CRYBG2
363	ZNF683
364	DHDDS
365	HMGN2
366	RPS6KA1
367	AL512408.1
368	ARID1A
369	PIGV
370	ZDHHC18
371	SFN
372	GPN2
373	GPATCH3
374	NUDC
375	NR0B2
376	KDF1
377	TRNP1
378	TENT5B
379	SLC9A1
380	WDTC1
381	TMEM222
382	SYTL1
383	MAP3K6
384	FCN3
385	CD164L2
386	GPR3
387	WASF2
388	BX293535.1
389	AHDC1
390	FGR
391	IFI6
392	FAM76A
393	STX12
394	PPP1R8
395	THEMIS2
396	RPA2
397	SMPDL3B
398	XKR8
399	EYA3
400	PTAFR
401	DNAJC8
402	ATP5IF1
403	AL353622.1
404	AL353622.2
405	SESN2
406	MED18
407	PHACTR4
408	RCC1
409	TRNAU1AP
410	SNHG12
411	TAF12
412	RAB42
413	LINC01715
414	AL360012.1
415	GMEB1
416	YTHDF2
417	AL009181.1
418	EPB41
419	TMEM200B
420	SRSF4
421	MECR
422	PTPRU
423	MATN1
424	MATN1-AS1
425	LAPTM5
426	LINC01778
427	SDC3
428	PUM1
429	NKAIN1
430	SNRNP40
431	ZCCHC17
432	FABP3
433	SERINC2
434	AC114488.1
435	TINAGL1
436	PEF1
437	AC114488.2
438	AC114488.3
439	COL16A1
440	ADGRB2
441	SPOCD1
442	AL354919.1
443	AL136115.2
444	PTP4A2
445	KHDRBS1
446	AL445248.1
447	TMEM39B
448	KPNA6
449	TXLNA
450	CCDC28B
451	AL049795.1
452	IQCC
453	DCDC2B
454	TMEM234
455	EIF3I
456	FAM167B
457	LCK
458	HDAC1
459	MARCKSL1
460	TSSK3
461	FAM229A
462	BSDC1
463	ZBTB8A
464	ZBTB8OS
465	RBBP4
466	SYNC
467	KIAA1522
468	YARS
469	S100PBP
470	FNDC5
471	HPCA
472	TMEM54
473	RNF19B
474	AK2
475	AZIN2
476	TRIM62
477	ZNF362
478	PHC2
479	ZSCAN20
480	CSMD2
481	SMIM12
482	GJB3
483	GJA4
484	DLGAP3
485	AC114490.3
486	AC114490.2
487	TMEM35B
488	ZMYM6
489	ZMYM1
490	AL590434.1
491	SFPQ
492	ZMYM4
493	KIAA0319L
494	NCDN
495	AC004865.2
496	TFAP2E
497	PSMB2
498	C1ORF216
499	CLSPN
500	AGO4
501	AGO1
502	AGO3
503	TEKT2
504	ADPRHL2
505	COL8A2
506	TRAPPC3
507	MAP7D1
508	THRAP3
509	SH3D21
510	EVA1B
511	AL591845.1
512	STK40
513	LSM10
514	OSCP1
515	MRPS15
516	CSF3R
517	GRIK3
518	LINC01137
519	ZC3H12A
520	MEAF6
521	SNIP1
522	DNALI1
523	GNL2
524	RSPO1
525	C1ORF109
526	CDCA8
527	EPHA10
528	MANEAL
529	YRDC
530	C1ORF122
531	MTF1
532	INPP5B
533	SF3A3
534	FHL3
535	UTP11
536	POU3F1
537	RRAGC
538	AL139260.1
539	MYCBP
540	RHBDL2
541	AKIRIN1
542	NDUFS5
543	MACF1
544	BMP8A
545	PABPC4
546	AL365277.1
547	HEYL
548	PPIE
549	BMP8B
550	OXCT2
551	AL033527.3
552	AL033527.5
553	TRIT1
554	MYCL
555	MFSD2A
556	CAP1
557	PPT1
558	RLF
559	TMCO2
560	AL050341.2
561	ZMPSTE24
562	COL9A2
563	SMAP2
564	ZFP69B
565	ZFP69
566	AL603839.3
567	EXO5
568	ZNF684
569	RIMS3
570	NFYC-AS1
571	NFYC
572	KCNQ4
573	CITED4
574	CTPS1
575	SLFNL1
576	SCMH1
577	FOXO6
578	AC093151.2
579	EDN2
580	HIVEP3
581	GUCA2B
582	GUCA2A
583	FOXJ3
584	RIMKLA
585	ZMYND12
586	PPCS
587	CCDC30
588	PPIH
589	YBX1
590	P3H1
591	C1ORF50
592	AC098484.3
593	TMEM269
594	SVBP
595	ERMAP
596	AL512353.1
597	ZNF691
598	SLC2A1
599	SLC2A1-AS1
600	FAM183A
601	EBNA1BP2
602	CFAP57
603	TMEM125
604	C1ORF210
605	TIE1
606	AL139289.2
607	CDC20
608	ELOVL1
609	MED8
610	SZT2
611	HYI
612	PTPRF
613	AL451062.3
614	KDM4A
615	KDM4A-AS1
616	ST3GAL3
617	ARTN
618	AL357079.1
619	IPO13
620	DPH2
621	ATP6V0B
622	B4GALT2
623	CCDC24
624	SLC6A9
625	AL139220.2
626	DMAP1
627	ERI3
628	RNF220
629	TMEM53
630	ARMH1
631	KIF2C
632	RPS8
633	BEST4
634	PLK3
635	TCTEX1D4
636	BTBD19
637	PTCH2
638	EIF2B3
639	HECTD3
640	UROD
641	ZSWIM5
642	LINC01144
643	HPDL
644	MUTYH
645	TOE1
646	TESK2
647	CCDC163
648	MMACHC
649	PRDX1
650	AKR1A1
651	NASP
652	CCDC17
653	GPBP1L1
654	TMEM69
655	IPP
656	MAST2
657	PIK3R3
658	AL358075.2
659	TSPAN1
660	POMGNT1
661	LURAP1
662	RAD54L
663	LRRC41
664	UQCRH
665	NSUN4
666	FAAH
667	MKNK1
668	MOB3C
669	ATPAF1
670	EFCAB14
671	CYP4B1
672	CYP4A11
673	CYP4X1
674	CYP4Z1
675	LINC00853
676	PDZK1IP1
677	TAL1
678	AL135960.1
679	STIL
680	CMPK1
681	FOXD2-AS1
682	FOXD2
683	TRABD2B
684	SLC5A9
685	AL109659.2
686	SPATA6
687	AGBL4
688	BEND5
689	ELAVL4
690	DMRTA2
691	FAF1
692	CDKN2C
693	LINC01562
694	RNF11
695	TTC39A
696	TTC39A-AS1
697	EPS15
698	AC104170.1
699	OSBPL9
700	NRDC
701	AL050343.1
702	AL050343.2
703	RAB3B
704	TXNDC12
705	KTI12
706	BTF3L4
707	ZFYVE9
708	CC2D1B
709	ORC1
710	PRPF38A
711	TUT4
712	GPX7
713	SHISAL2A
714	COA7
715	ZYG11B
716	ECHDC2
717	SCP2
718	PODN
719	SLC1A7
720	AL445183.2
721	CPT2
722	C1ORF123
723	AL606760.3
724	MAGOH
725	AL606760.1
726	LRP8
727	LINC01771
728	GLIS1
729	NDC1
730	YIPF1
731	HSPB11
732	LRRC42
733	LDLRAD1
734	TMEM59
735	TCEANC2
736	AL357673.1
737	CYB5RL
738	MRPL37
739	SSBP3
740	ACOT11
741	MROH7
742	TTC4
743	PARS2
744	TTC22
745	DHCR24
746	AC096536.3
747	AC096536.1
748	TMEM61
749	PCSK9
750	USP24
751	MIR4422HG
752	AL603840.1
753	AC119674.1
754	AC119674.2
755	LINC01767
756	PLPP3
757	PRKAA2
758	FYB2
759	DAB1
760	OMA1
761	TACSTD2
762	MYSM1
763	AL136985.3
764	JUN
765	LINC01135
766	AC105277.1
767	LINC01358
768	AC093424.1
769	FGGY
770	HOOK1
771	CYP2J2
772	LINC01748
773	NFIA
774	TM2D1
775	AC099791.2
776	PATJ
777	L1TD1
778	KANK4
779	USP1
780	DOCK7
781	ANGPTL3
782	AC103923.1
783	ATG4C
784	FOXD3-AS1
785	ALG6
786	ITGB3BP
787	EFCAB7
788	PGM1
789	ROR1
790	AL445205.1
791	UBE2U
792	CACHD1
793	RAVER2
794	JAK1
795	AL357078.1
796	AK4
797	DNAJC6
798	LEPROT
799	LEPR
800	AL513493.1
801	PDE4B
802	SGIP1
803	TCTEX1D1
804	WDR78
805	MIER1
806	SLC35D1
807	IL23R
808	IL12RB2
809	SERBP1
810	GADD45A
811	GNG12
812	GNG12-AS1
813	DIRAS3
814	WLS
815	RPE65
816	DEPDC1
817	LRRC40
818	SRSF11
819	ANKRD13C
820	HHLA3
821	CTH
822	AL354872.2
823	PTGER3
824	AL031429.1
825	ZRANB2-AS1
826	ZRANB2
827	NEGR1
828	LRRIQ3
829	FPGT
830	FPGT-TNNI3K
831	ERICH3
832	AC135803.1
833	CRYZ
834	TYW3
835	SLC44A5
836	ACADM
837	RABGGTB
838	ST6GALNAC3
839	ST6GALNAC5
840	PIGK
841	AK5
842	AC118549.1
843	USP33
844	MIGA1
845	NEXN-AS1
846	NEXN
847	FUBP1
848	DNAJB4
849	GIPC2
850	AC103591.3
851	PTGFR
852	IFI44L
853	IFI44
854	ADGRL4
855	LINC01781
856	ADGRL2
857	LINC01725
858	TTLL7
859	AL359504.2
860	PRKACB
861	SAMD13
862	DNASE2B
863	RPF1
864	GNG5
865	SPATA1
866	CTBS
867	SSX2IP
868	LPAR3
869	MCOLN2
870	WDR63
871	MCOLN3
872	SYDE2
873	C1ORF52
874	BCL10
875	AL078459.1
876	DDAH1
877	AL360219.1
878	AC092807.3
879	CYR61
880	ZNHIT6
881	COL24A1
882	ODF2L
883	CLCA1
884	AL049597.2
885	SH3GLB1
886	SELENOF
887	HS2ST1
888	LINC01140
889	LMO4
890	PKN2-AS1
891	PKN2
892	GTF2B
893	KYAT3
894	RBMXL1
895	GBP3
896	GBP1
897	GBP2
898	GBP4
899	AC099063.4
900	GBP5
901	LRRC8B
902	LRRC8C-DT
903	LRRC8C
904	AC099568.2
905	LRRC8D
906	ZNF326
907	ZNF644
908	HFM1
909	CDC7
910	TGFBR3
911	EPHX4
912	BTBD8
913	GLMN
914	RPAP2
915	GFI1
916	EVI5
917	RPL5
918	FAM69A
919	MTF2
920	TMED5
921	CCDC18
922	DR1
923	FNBP1L
924	BCAR3
925	AL109613.1
926	DNTTIP2
927	GCLM
928	ABCA4
929	ARHGAP29
930	AC097059.1
931	ABCD3
932	F3
933	SLC44A3
934	CNN3
935	AC105942.1
936	ALG14
937	TMEM56
938	TMEM56-RWDD3
939	AC092802.1
940	RWDD3
941	PTBP2
942	DPYD
943	SNX7
944	PLPPR4
945	PALMD
946	FRRS1
947	AGL
948	AC118553.1
949	SLC35A3
950	AC118553.2
951	MFSD14A
952	SASS6
953	TRMT13
954	LRRC39
955	DBT
956	RTCA-AS1
957	RTCA
958	CDC14A
959	GPR88
960	VCAM1
961	EXTL2
962	AC104506.1
963	SLC30A7
964	DPH5
965	AC093157.1
966	AL109741.1
967	S1PR1
968	OLFM3
969	RNPC3
970	AMY2B
971	PRMT6
972	VAV3
973	AL390036.1
974	SLC25A24
975	AL359258.2
976	FAM102B
977	HENMT1
978	PRPF38B
979	FNDC7
980	STXBP3
981	AKNAD1
982	AL449266.1
983	GPSM2
984	CLCC1
985	WDR47
986	TAF13
987	AL356488.3
988	TMEM167B
989	AL356488.2
990	C1ORF194
991	KIAA1324
992	SARS
993	CELSR2
994	PSRC1
995	MYBPHL
996	SORT1
997	PSMA5
998	SYPL2
999	ATXN7L2
1000	CYB561D1
1001	AMIGO1
1002	GPR61
1003	GNAI3
1004	GNAT2
1005	AMPD2
1006	GSTM4
1007	GSTM2
1008	GSTM1
1009	AC000032.1
1010	GSTM5
1011	AL158847.1
1012	GSTM3
1013	EPS8L3
1014	CSF1
1015	AHCYL1
1016	STRIP1
1017	AL160006.1
1018	SLC6A17
1019	LINC02586
1020	KCNC4
1021	RBM15-AS1
1022	RBM15
1023	SLC16A4
1024	AL355488.1
1025	LAMTOR5
1026	KCNA2
1027	AL365361.1
1028	KCNA3
1029	CD53
1030	LRIF1
1031	AL360270.3
1032	DRAM2
1033	CEPT1
1034	AL355816.2
1035	DENND2D
1036	CHI3L2
1037	CHIA
1038	PIFO
1039	OVGP1
1040	WDR77
1041	ATP5PB
1042	C1ORF162
1043	ADORA3
1044	RAP1A
1045	LINC01160
1046	INKA2
1047	DDX20
1048	KCND3
1049	LINC01750
1050	AL445426.1
1051	CTTNBP2NL
1052	WNT2B
1053	AL354760.1
1054	ST7L
1055	CAPZA1
1056	MOV10
1057	RHOC
1058	PPM1J
1059	AL603832.2
1060	LINC01356
1061	AL390729.1
1062	SLC16A1
1063	SLC16A1-AS1
1064	AL357055.3
1065	LRIG2
1066	MAGI3
1067	PHTF1
1068	RSBN1
1069	AL137856.1
1070	PTPN22
1071	BCL2L15
1072	AP4B1
1073	DCLRE1B
1074	HIPK1-AS1
1075	HIPK1
1076	OLFML3
1077	SYT6
1078	TRIM33
1079	BCAS2
1080	DENND2C
1081	AMPD1
1082	NRAS
1083	CSDE1
1084	SIKE1
1085	TSPAN2
1086	LINC01765
1087	AL512638.2
1088	NGF
1089	VANGL1
1090	CASQ2
1091	NHLH2
1092	SLC22A15
1093	MAB21L3
1094	ATP1A1
1095	AL390066.1
1096	CD58
1097	IGSF3
1098	CD2
1099	PTGFRN
1100	CD101
1101	AL445231.1
1102	TTF2
1103	TRIM45
1104	MAN1A2
1105	TENT5C
1106	GDAP2
1107	WDR3
1108	SPAG17
1109	WARS2
1110	AL359915.2
1111	ZNF697
1112	PHGDH
1113	HMGCS2
1114	REG4
1115	ADAM30
1116	NOTCH2
1117	SEC22B
1118	NBPF26
1119	LINC00623
1120	FCGR1B
1121	AC244453.3
1122	AC244453.2
1123	AC244453.1
1124	FAM72B
1125	SRGAP2C
1126	AC244021.1
1127	AC239800.2
1128	AC239800.3
1129	AC239798.2
1130	HIST2H3PS2
1131	FAM72C
1132	AC245595.1
1133	AC246785.3
1134	NBPF15
1135	SRGAP2B
1136	FAM72D
1137	AC245014.3
1138	AC245014.1
1139	NBPF20
1140	GPR89A
1141	PDZK1
1142	CD160
1143	RNF115
1144	POLR3C
1145	NUDT17
1146	PIAS3
1147	ANKRD35
1148	ITGA10
1149	PEX11B
1150	RBM8A
1151	LIX1L-AS1
1152	LIX1L
1153	ANKRD34A
1154	AC243547.2
1155	POLR3GL
1156	TXNIP
1157	LINC01719
1158	NBPF10
1159	NOTCH2NL
1160	AC245407.2
1161	NBPF12
1162	PRKAB2
1163	AC242426.2
1164	FMO5
1165	CHD1L
1166	LINC00624
1167	BCL9
1168	ACP6
1169	GJA5
1170	GPR89B
1171	AC239803.2
1172	AC239803.3
1173	NBPF11
1174	AC239809.3
1175	PPIAL4G
1176	NBPF14
1177	NUDT4B
1178	PDE4DIP
1179	AC239804.1
1180	NBPF9
1181	AC245297.3
1182	AC245297.2
1183	NBPF19
1184	FCGR1A
1185	HIST2H2BF
1186	AC243772.2
1187	HIST2H3D
1188	HIST2H4A
1189	HIST2H2AA3
1190	AC239868.3
1191	HIST2H2AA4
1192	HIST2H3A
1193	HIST2H4B
1194	AC239868.2
1195	HIST2H2BE
1196	HIST2H2AC
1197	HIST2H2AB
1198	BOLA1
1199	SV2A
1200	SF3B4
1201	MTMR11
1202	OTUD7B
1203	VPS45
1204	PLEKHO1
1205	ANP32E
1206	CA14
1207	APH1A
1208	C1ORF54
1209	CIART
1210	MRPS21
1211	PRPF3
1212	RPRD2
1213	TARS2
1214	ECM1
1215	FALEC
1216	ADAMTSL4
1217	MCL1
1218	ENSA
1219	GOLPH3L
1220	HORMAD1
1221	CTSS
1222	CTSK
1223	ARNT
1224	SETDB1
1225	CERS2
1226	ANXA9
1227	MINDY1
1228	PRUNE1
1229	BNIPL
1230	C1ORF56
1231	CDC42SE1
1232	MLLT11
1233	GABPB2
1234	SEMA6C
1235	TNFAIP8L2
1236	SCNM1
1237	LYSMD1
1238	VPS72
1239	PIP5K1A
1240	PSMD4
1241	AL391069.2
1242	ZNF687
1243	PI4KB
1244	RFX5
1245	AL391069.3
1246	SELENBP1
1247	PSMB4
1248	POGZ
1249	CGN
1250	TUFT1
1251	SNX27
1252	CELF3
1253	RIIAD1
1254	AL589765.7
1255	MRPL9
1256	OAZ3
1257	AL589765.4
1258	TDRKH
1259	TDRKH-AS1
1260	LINGO4
1261	RORC
1262	C2CD4D
1263	AL450992.2
1264	THEM4
1265	S100A10
1266	S100A11
1267	TCHH
1268	FLG-AS1
1269	SPRR2F
1270	S100A9
1271	S100A12
1272	S100A8
1273	S100A6
1274	S100A4
1275	S100A3
1276	S100A2
1277	S100A16
1278	S100A14
1279	S100A13
1280	S100A1
1281	AL162258.2
1282	CHTOP
1283	SNAPIN
1284	ILF2
1285	NPR1
1286	INTS3
1287	SLC27A3
1288	GATAD2B
1289	AL358472.5
1290	DENND4B
1291	CRTC2
1292	SLC39A1
1293	AL358472.4
1294	AL358472.3
1295	CREB3L4
1296	JTB
1297	AL358472.2
1298	RAB13
1299	RPS27
1300	NUP210L
1301	TPM3
1302	C1ORF43
1303	UBAP2L
1304	HAX1
1305	AQP10
1306	ATP8B2
1307	IL6R-AS1
1308	IL6R
1309	SHE
1310	TDRD10
1311	UBE2Q1
1312	CHRNB2
1313	ADAR
1314	KCNN3
1315	PMVK
1316	AL451085.1
1317	PBXIP1
1318	PYGO2
1319	AL451085.2
1320	SHC1
1321	CKS1B
1322	FLAD1
1323	ZBTB7B
1324	DCST2
1325	DCST1-AS1
1326	ADAM15
1327	EFNA4
1328	EFNA3
1329	EFNA1
1330	SLC50A1
1331	DPM3
1332	KRTCAP2
1333	AL713999.1
1334	TRIM46
1335	MUC1
1336	AC234582.1
1337	THBS3
1338	MTX1
1339	AC234582.2
1340	GBA
1341	FAM189B
1342	SCAMP3
1343	CLK2
1344	HCN3
1345	PKLR
1346	FDPS
1347	RUSC1-AS1
1348	RUSC1
1349	ASH1L
1350	ASH1L-AS1
1351	MSTO1
1352	YY1AP1
1353	DAP3
1354	GON4L
1355	SYT11
1356	RIT1
1357	KHDC4
1358	ARHGEF2
1359	AL355388.2
1360	SSR2
1361	UBQLN4
1362	LAMTOR2
1363	RAB25
1364	MEX3A
1365	LMNA
1366	SEMA4A
1367	SLC25A44
1368	PMF1-BGLAP
1369	PMF1
1370	BGLAP
1371	PAQR6
1372	SMG5
1373	TMEM79
1374	GLMP
1375	VHLL
1376	CCT3
1377	TSACC
1378	C1ORF61
1379	AL139412.1
1380	MEF2D
1381	IQGAP3
1382	TTC24
1383	NAXE
1384	GPATCH4
1385	HAPLN2
1386	AL365181.2
1387	BCAN
1388	AL365181.3
1389	AL590666.2
1390	NES
1391	CRABP2
1392	AL590666.1
1393	ISG20L2
1394	RRNAD1
1395	MRPL24
1396	HDGF
1397	PRCC
1398	SH2D2A
1399	NTRK1
1400	INSRR
1401	PEAR1
1402	ARHGEF11
1403	ETV3
1404	FCRL5
1405	FCRL3
1406	FCRL2
1407	FCRL1
1408	KIRREL1
1409	LINC01704
1410	CD1D
1411	AL138899.1
1412	CD1C
1413	CD1E
1414	MNDA
1415	PYHIN1
1416	IFI16
1417	AIM2
1418	CADM3
1419	ACKR1
1420	FCER1A
1421	DUSP23
1422	FCRL6
1423	SLAMF8
1424	AL590560.1
1425	VSIG8
1426	AL590560.2
1427	CFAP45
1428	TAGLN2
1429	IGSF9
1430	LINC01133
1431	KCNJ10
1432	PIGM
1433	IGSF8
1434	ATP1A2
1435	AL121987.2
1436	PEA15
1437	DCAF8
1438	AL139011.1
1439	PEX19
1440	COPA
1441	NCSTN
1442	NHLH1
1443	VANGL2
1444	SLAMF6
1445	AL138930.1
1446	CD84
1447	SLAMF1
1448	AL121985.1
1449	CD48
1450	SLAMF7
1451	LY9
1452	CD244
1453	ITLN1
1454	ITLN2
1455	F11R
1456	AL591806.3
1457	TSTD1
1458	USF1
1459	ARHGAP30
1460	NECTIN4
1461	KLHDC9
1462	PFDN2
1463	NIT1
1464	DEDD
1465	UFC1
1466	AL590714.1
1467	USP21
1468	PPOX
1469	B4GALT3
1470	ADAMTS4
1471	NDUFS2
1472	FCER1G
1473	TOMM40L
1474	PCP4L1
1475	MPZ
1476	SDHC
1477	CFAP126
1478	AL592295.4
1479	FCGR2A
1480	HSPA6
1481	FCGR3A
1482	FCGR3B
1483	FCGR2B
1484	FCRLA
1485	FCRLB
1486	DUSP12
1487	AL359541.1
1488	ATF6
1489	OLFML2B
1490	NOS1AP
1491	C1ORF226
1492	SH2D1B
1493	UHMK1
1494	AL596325.1
1495	UAP1
1496	DDR2
1497	HSD17B7
1498	RGS4
1499	RGS5
1500	RGS5.1
1501	NUF2
1502	PBX1
1503	RXRG
1504	AL157714.2
1505	LRRC52
1506	AL356441.1
1507	MGST3
1508	ALDH9A1
1509	TMCO1
1510	AL451074.2
1511	UCK2
1512	AL358115.1
1513	FAM78B
1514	POGK
1515	TADA1
1516	ILDR2
1517	AL451050.2
1518	POU2F1
1519	CD247
1520	CREG1
1521	AL031733.2
1522	RCSD1
1523	MPZL1
1524	ADCY10
1525	MPC2
1526	DCAF6
1527	GPR161
1528	TIPRL
1529	SFT2D2
1530	TBX19
1531	XCL2
1532	XCL1
1533	DPT
1534	LINC00970
1535	AL031726.1
1536	ATP1B1
1537	NME7
1538	BLZF1
1539	CCDC181
1540	SLC19A2
1541	AL021068.1
1542	F5
1543	SELP
1544	C1ORF112
1545	SELL
1546	SELE
1547	METTL18
1548	SCYL3
1549	KIFAP3
1550	GORAB
1551	PRRX1
1552	FMO3
1553	FMO2
1554	AL021026.1
1555	AL445673.1
1556	FMO1
1557	FMO4
1558	PRRC2C
1559	MYOCOS
1560	MYOC
1561	VAMP4
1562	METTL13
1563	DNM3
1564	DNM3OS
1565	PIGC
1566	SUCO
1567	FASLG
1568	TNFSF18
1569	TNFSF4
1570	AL645568.1
1571	PRDX6
1572	SLC9C2
1573	KLHL20
1574	CENPL
1575	DARS2
1576	GAS5-AS1
1577	ZBTB37
1578	SERPINC1
1579	RC3H1
1580	AL121983.1
1581	AL121983.2
1582	RABGAP1L
1583	CACYBP
1584	MRPS14
1585	TNN
1586	KIAA0040
1587	AL513329.1
1588	COP1
1589	AL359265.3
1590	PAPPA2
1591	ASTN1
1592	SEC16B
1593	RASAL2-AS1
1594	RASAL2
1595	C1ORF220
1596	AL449106.1
1597	RALGPS2
1598	ANGPTL1
1599	FAM20B
1600	TOR3A
1601	ABL2
1602	SOAT1
1603	AXDND1
1604	TDRD5
1605	FAM163A
1606	TOR1AIP2
1607	AL353708.3
1608	TOR1AIP1
1609	AL353708.1
1610	CEP350
1611	QSOX1
1612	LHX4
1613	ACBD6
1614	XPR1
1615	KIAA1614
1616	AL162431.2
1617	STX6
1618	MR1
1619	IER5
1620	CACNA1E
1621	LINC01344
1622	GLUL
1623	RNASEL
1624	RGS16
